Activator Rail,activator_rail,17
Anvil,anvil,16
Beacon,beacon,16
Bedrock,bedrock,0
Birch Leaves,birch_leaves,5
Birch Log,birch_log,5
Birch Planks,birch_planks,14
Birch Sapling,birch_sapling,8
Birch Slab,birch_slab,15
Birch Stairs,birch_stairs,15
Birch Wood,birch_wood,15
Black Carpet,black_carpet,18
Black Terracotta,black_terracotta,18
Black Wool,black_wool,5
Block of Coal,block_of_coal,18
Block of Emerald,block_of_emerald,15
Block of Gold,block_of_gold,0
Block of Iron,block_of_iron,0
Block of Lapis Lazuli,block_of_lapis_lazuli,5
Block of Quartz,block_of_quartz,17
Block of Redstone,block_of_redstone,17
Blue Carpet,blue_carpet,18
Blue Terracotta,blue_terracotta,18
Blue Wool,blue_wool,5
Bookshelf,bookshelf,0
Brewing Stand,brewing_stand,12
Brick Slab,brick_slab,11
Brick Stairs,brick_stairs,11
Bricks,bricks,0
Brown Carpet,brown_carpet,18
Brown Mushroom,brown_mushroom,0
Brown Mushroom Block,brown_mushroom_block,11
Brown Terracotta,brown_terracotta,18
Brown Wool,brown_wool,5
Cactus,cactus,0
Cake,cake,5
Carved Pumpkin,carved_pumpkin,2
Cauldron,cauldron,12
Chest,chest,0
Chipped Anvil,chipped_anvil,16
Chiseled Quartz Block,chiseled_quartz_block,17
Chiseled Sandstone,chiseled_sandstone,14
Chiseled Stone Bricks,chiseled_stone_bricks,14
Clay,clay,0
Coal Ore,coal_ore,0
Cobblestone,cobblestone,0
Cobblestone Slab,cobblestone_slab,6
Cobblestone Stairs,cobblestone_stairs,0
Cobblestone Wall,cobblestone_wall,16
Cobweb,cobweb,8
Cocoa,cocoa,15
Command Block,command_block,16
Cracked Stone Bricks,cracked_stone_bricks,11
Crafting Table,crafting_table,0
Creeper Head,creeper_head,16
Cut Sandstone,cut_sandstone,14
Cyan Carpet,cyan_carpet,18
Cyan Terracotta,cyan_terracotta,18
Cyan Wool,cyan_wool,5
Damaged Anvil,damaged_anvil,16
Dandelion,dandelion,0
Daylight Detector,daylight_detector,17
Dead Bush,dead_bush,9
Detector Rail,detector_rail,8
Diamond Ore,diamond_ore,0
Dirt,dirt,0
Dispenser,dispenser,5
Dragon Egg,dragon_egg,12
Dropper,dropper,17
Emerald Ore,emerald_ore,15
Enchanting Table,enchanting_table,12
End Portal Frame,end_portal_frame,12
End Stone,end_stone,12
Ender Chest,ender_chest,15
Farmland,farmland,0
Fern,fern,9
Flower Pot,flower_pot,16
Furnace,furnace,0
Glass,glass,0
Glass Pane,glass_pane,11
Glowstone,glowstone,2
Gold Ore,gold_ore,0
Grass Block,grass_block,0
Gravel,gravel,0
Gray Carpet,gray_carpet,18
Gray Terracotta,gray_terracotta,18
Gray Wool,gray_wool,5
Green Carpet,green_carpet,18
Green Terracotta,green_terracotta,18
Green Wool,green_wool,5
Hay Bale,hay_bale,18
Heavy Weighted Pressure Plate,heavy_weighted_pressure_plate,17
Hopper,hopper,17
Ice,ice,0
Infested Cobblestone,cobblestone,11
Infested Stone,stone,11
Infested Stone Bricks,stone_bricks,11
Iron Bars,iron_bars,11
Iron Door,iron_door,0
Iron Ore,iron_ore,0
Jack o’Lantern,jack_o_lantern,2
Jukebox,jukebox,0
Jungle Leaves,jungle_leaves,14
Jungle Log,jungle_log,14
Jungle Planks,jungle_planks,14
Jungle Sapling,jungle_sapling,14
Jungle Slab,jungle_slab,15
Jungle Stairs,jungle_stairs,15
Jungle Wood,jungle_wood,15
Ladder,ladder,0
Lapis Lazuli Ore,lapis_lazuli_ore,5
Lava,lava,0
Lever,lever,0
Light Blue Carpet,light_blue_carpet,18
